date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:31:45	26059/26059	---M--	200	added ('OK')	image/png	etag:nGtEaze7Etk1Mki0w7kWHZ7PbC-F7BB08ckAGkzUzL8=	https://yassir.com/_next/image?url=%2Fimages%2Fglobal%2Frestaurant-en.png&w=3840&q=75	C:/Users/moham/Desktop/test/yassir.com/_next/restaurant-en3e4e.png	(from https://yassir.com/en/restaurant)
00:31:46	30189/30189	---M--	200	added ('OK')	image/png	etag:myVJ8mu1-f2hvlKZq3cLWjgEHmtm3a8M2eRiT-PCUtk=	https://yassir.com/_next/image?url=%2Fimages%2Fglobal%2Fbenefits_desktop_2_restaurant_en.png&w=3840&q=75	C:/Users/moham/Desktop/test/yassir.com/_next/benefits_desktop_2_restaurant_ena5fb.png	(from https://yassir.com/en/restaurant)
00:31:48	111281/111281	---M--	200	added ('OK')	image/png	etag:UestSm7iNK25YPt0yiQGsU+TacDJqpq2o1OovFS0Oak=	https://yassir.com/_next/image?url=%2Fimages%2Fglobal%2Fbenefits_desktop_1_restaurant_en.png&w=3840&q=75	C:/Users/moham/Desktop/test/yassir.com/_next/benefits_desktop_1_restaurant_en9b01.png	(from https://yassir.com/en/restaurant)
00:31:48	12705/12705	---M--	200	added ('OK')	image/png	etag:QbzyxMPp9fgFxEzDtEKzxXP08vgF6+L12j1OpYTZSQM=	https://yassir.com/_next/image?url=%2Fimages%2Fglobal%2Fregistration-step-en.png&w=3840&q=75	C:/Users/moham/Desktop/test/yassir.com/_next/registration-step-en79e9.png	(from https://yassir.com/en/restaurant)
00:31:49	6975/6975	---M--	200	added ('OK')	image/png	etag:Pzx4-QJXK0Zt6WGpOFUI-Yp5lO4eX26KjIdUOahNfBM=	https://yassir.com/_next/image?url=%2Fimages%2Fglobal%2Fvalidation-step-en.png&w=3840&q=75	C:/Users/moham/Desktop/test/yassir.com/_next/validation-step-enb7ff.png	(from https://yassir.com/en/restaurant)
00:31:52	153913/153913	---M--	200	added ('OK')	image/png	etag:q5jrS2yF4whFFnVouBRnFguDYeg8oCHSF7+d3nbczFE=	https://yassir.com/_next/image?url=%2Fimages%2Fglobal%2Fcongratulations-step-en.png&w=3840&q=75	C:/Users/moham/Desktop/test/yassir.com/_next/congratulations-step-en5c4b.png	(from https://yassir.com/en/restaurant)
00:31:53	155094/155094	---MCZ	200	added ('OK')	text/html	etag:%224k0n0wgflp3bnl%22	https://yassir.com/stores	C:/Users/moham/Desktop/test/yassir.com/stores.html	(from https://yassir.com/en/stores)
00:31:54	120335/120335	---M--	200	added ('OK')	image/png	etag:DVObrnefgo2015VyX9xbRTiWhpxtiuIP5nVllv7dstI=	https://yassir.com/_next/image?url=%2Fimages%2Fglobal%2Fstores-phone-en.png&w=3840&q=75	C:/Users/moham/Desktop/test/yassir.com/_next/stores-phone-en01fc.png	(from https://yassir.com/en/stores)
00:31:55	127501/127501	---M--	200	added ('OK')	image/jpeg	etag:FDOTFXQFglptbolGkwE0RL7tW0e6XNnypUoVrMiX4q8=	https://yassir.com/_next/image?url=%2Fimages%2Fglobal%2Fbenefits_desktop_1.webp&w=3840&q=75	C:/Users/moham/Desktop/test/yassir.com/_next/benefits_desktop_168b3.jpeg	(from https://yassir.com/en/stores)
00:31:57	160648/160648	---M--	200	added ('OK')	image/jpeg	etag:pvjRA6B-9Q9u6rBo0QEBF+f4yl+EYQLKEQw4okDCA9M=	https://yassir.com/_next/image?url=%2Fimages%2Fglobal%2Fbenefits_desktop_2.webp&w=3840&q=75	C:/Users/moham/Desktop/test/yassir.com/_next/benefits_desktop_25205.jpeg	(from https://yassir.com/en/stores)
